project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the core infrastructure.,2023-01-15,2023-12-31,1,Completed,500000.0
2,Operation Blue Sky,Expanding into new markets.,2023-03-01,2024-06-30,2,In Progress,750000.5
3,Project Nightingale,Improving customer service channels.,2023-05-10,2023-11-15,3,Completed,300000.0
4,Project Titan,Developing a next-generation product.,2023-07-01,2024-12-31,4,In Progress,1200000.0
5,Project Chimera,Integrating disparate systems.,2023-09-15,2024-03-31,5,Planning,400000.0
6,Project Gemini,Creating a new mobile application.,2023-11-01,2024-05-31,6,Planning,600000.0
7,Project Atlas,Data migration to a cloud platform.,2024-01-01,2024-09-30,7,Planning,900000.0
8,Project Voyager,Exploring AI solutions for automation.,2024-03-01,2024-12-31,8,Planning,1500000.0
9,Project Aurora,Enhancing cybersecurity measures.,2024-05-01,2025-02-28,9,Planning,800000.0
10,Project Nova,Implementing a new CRM system.,2024-07-01,2025-06-30,10,Planning,1000000.0
